emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
contemptuous,Anger/Hostility,-0.085223,-0.07899,-0.071651,-0.070266,-0.069846,-0.070539,-0.006233,0.007339,0.008725,0.009144,0.008451,0.001127
offended,Anger/Hostility,-0.127953,-0.127704,-0.122447,-0.119692,-0.118865,-0.120238,-0.000249,0.005257,0.008012,0.008839,0.007467,0.000846
irritated,Anger/Hostility,-0.075443,-0.072695,-0.068105,-0.066265,-0.063917,-0.066352,-0.002748,0.00459,0.00643,0.008778,0.006344,0.000985
humiliated,Embarrassment,-0.039446,-0.031086,-0.028465,-0.026329,-0.022408,-0.026245,-0.008361,0.002621,0.004756,0.008678,0.004841,0.001325
exasperated,Anger/Hostility,-0.014628,-0.017195,-0.009744,-0.006784,-0.00865,-0.007796,0.002567,0.007451,0.01041,0.008545,0.009398,0.001323
stubborn,Defiance/Spite,0.080802,0.080066,0.085997,0.085866,0.08792,0.086216,0.000736,0.005931,0.0058,0.007854,0.00615,0.000922
horrified,Fear/Anxiety,0.086979,0.089868,0.092695,0.092974,0.097614,0.093623,-0.002889,0.002827,0.003106,0.007745,0.003755,0.001035
sullen,Sadness/Despair,-0.030083,-0.025222,-0.020776,-0.015855,-0.017737,-0.017349,-0.004861,0.004446,0.009366,0.007484,0.007873,0.000963
alarmed,Fear/Anxiety,0.080604,0.082762,0.085147,0.084768,0.089925,0.085658,-0.002158,0.002385,0.002005,0.007163,0.002895,0.000852
ashamed,Shame/Guilt,-0.135303,-0.130031,-0.124159,-0.124613,-0.122882,-0.124234,-0.005273,0.005872,0.005418,0.007149,0.005797,0.001141
disturbed,Fear/Anxiety,-0.028329,-0.02662,-0.023682,-0.021172,-0.019543,-0.021534,-0.00171,0.002937,0.005447,0.007077,0.005086,0.000991
furious,Anger/Hostility,-0.187038,-0.186843,-0.181279,-0.17846,-0.180058,-0.179396,-0.000194,0.005565,0.008383,0.006785,0.007447,0.000863
hysterical,Fear/Anxiety,-0.045903,-0.044031,-0.043253,-0.039097,-0.037288,-0.039833,-0.001872,0.000778,0.004934,0.006743,0.004198,0.001033
mad,Anger/Hostility,0.014236,0.011924,0.015555,0.019044,0.018641,0.018129,0.002312,0.003631,0.00712,0.006716,0.006205,0.000997
overwhelmed,Fear/Anxiety,0.100872,0.09904,0.101348,0.104704,0.105282,0.103973,0.001831,0.002308,0.005664,0.006242,0.004933,0.000962
disdainful,Anger/Hostility,-0.002834,-0.002754,0.002848,0.002929,0.003392,0.002981,-8e-05,0.005602,0.005683,0.006146,0.005735,0.001274
scornful,Anger/Hostility,-0.087325,-0.089253,-0.083725,-0.079927,-0.083285,-0.081375,0.001928,0.005528,0.009326,0.005968,0.007879,0.001062
